GOX,LSDC,NC,NSD,FG,W,H,Lg,LSP,nPerDecade,VgMin,VgMax,Vdd,Rfb,WK,Vth,gmax,ioff,isat,sslop,Vt,rout
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.032,0.01,1,-0.2,0.8,0.1,0,4.8,0.170425383803341,0.000198000699815802,6.41E-14,8.43E-05,0.0598843964306055,0.186131716347283,406409982.159875
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.032,0.02,1,-0.2,0.8,0.1,0,4.8,0.17233851610877,0.000177717143235985,6.10E-14,7.28E-05,0.059890597841224,0.187541154642309,427052164.546197
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.012,0.01,1,-0.2,0.8,0.1,0,4.8,0.112499310799358,0.000260814427507124,3.25E-12,0.000106868005490025,0.0657320672755378,0.169880448238671,8772907.56012046
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.012,0.02,1,-0.2,0.8,0.1,0,4.8,0.104652179104329,0.000208664306559165,3.49E-12,8.31E-05,0.066888974889217,0.158830724683606,8325598.19000192
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.014,0.01,1,-0.2,0.8,0.1,0,4.8,0.126227006061177,0.000238360721492667,1.45E-12,9.84E-05,0.0652705104528511,0.173754513826641,19498658.1808141
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.014,0.02,1,-0.2,0.8,0.1,0,4.8,,,,,,,
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.016,0.01,1,-0.2,0.8,0.1,0,4.8,0.135553003776078,0.000236782516740724,7.24E-13,9.76E-05,0.0637763833251638,0.177590519219347,38223973.456458
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.016,0.02,1,-0.2,0.8,0.1,0,4.8,0.137838363741718,0.000203059386513282,5.74E-13,7.85E-05,0.0624612671543794,0.179539779677463,47221205.5671742
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.018,0.01,1,-0.2,0.8,0.1,0,4.8,0.144066106445855,0.000231399730010544,4.02E-13,9.69E-05,0.0627397147088271,0.17954603029637,67733091.0009589
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.018,0.02,1,-0.2,0.8,0.1,0,4.8,0.150156063248398,0.000203782114568528,2.93E-13,8.12E-05,0.061806022680819,0.183674957121356,91458470.7829434
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.02,0.01,1,-0.2,0.8,0.1,0,4.8,0.152780593781701,0.000234842884470551,2.00E-13,9.89E-05,0.0612732758546411,0.18327405023857,132911333.37224
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.02,0.02,1,-0.2,0.8,0.1,0,4.8,0.154821767224448,0.00020259054292452,1.98E-13,8.03E-05,0.0616280777943726,0.186056311222684,135147602.880377
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.022,0.01,1,-0.2,0.8,0.1,0,4.8,0.155879231601873,0.000233447752270951,1.53E-13,9.90E-05,0.060763141297715,0.183823589817013,172666610.883547
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.022,0.02,1,-0.2,0.8,0.1,0,4.8,0.160225212798465,0.000197146008927968,1.30E-13,7.88E-05,0.0609495427462075,0.188395780366335,204243219.860057
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.024,0.01,1,-0.2,0.8,0.1,0,4.8,0.160656965565577,0.000220048873161452,1.13E-13,9.29E-05,0.0605897019820339,0.185937373912201,231926610.243241
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.024,0.02,1,-0.2,0.8,0.1,0,4.8,0.163453788647072,0.000193630483628714,9.99E-14,7.81E-05,0.0606972486333353,0.188688909555279,263952929.156216
0.001,0.01,1.00E+17,3.00E+19,0.008,0.022,0.008,0.026,0.01,1,-0.2,0.8,0.1,0,4.8,0.164452011143084,0.000213670455726384,8.86E-14,9.11E-05,0.0603784697343027,0.186957821100947,295993506.643206
